Package,City,Place_Tourism1,Place_Tourism2,Place_Tourism3,Place_Tourism4,Place_Tourism5
65,Semarang,Jembatan Biru Ambarawa,Masjid Agung Ungaran,Tugu Muda Semarang,Taman Tabanas,Kampung Tematik Jawi
66,Semarang,Air Terjun Semirang,Obyek Wisata Goa Kreo,Watu Gunung Ungaran,Brown Canyon,Durian Gardens and Tourism Education Watu Simbar
67,Semarang,Saloka Theme Park,Water Blaster Bukit Candi Golf,Kampoeng Kopi Banaran,Brown Canyon,Durian Gardens and Tourism Education Watu Simbar
68,Semarang,Water Blaster Bukit Candi Golf,Kampung Batik Gedong Semarang,Semarang Gallery,Flower Farm Setiya Aji,Durian Gardens and Tourism Education Watu Simbar
69,Semarang,Waduk Jatibarang,Wisata Lereng Kelir,Kampoeng Rawa,Wisata Eling Bening,Gua Maria Kerep Ambarawa
70,Semarang,Kampoeng Djadhoel Semarang,Pura Giri Natha,Old City 3D Trick Art Museum,Semarang Contemporary Art Gallery,Gua Maria Kerep Ambarawa
71,Semarang,Wisata Lereng Kelir,Monumen Palagan Ambarawa,Benteng Pendem,Museum Kereta Ambarawa,Hutan Pinus Kayon
72,Semarang,GPIB Immanuel Semarang (Gereja Blenduk),Masjid Kapal Semarang,Masjid Agung Ungaran,Museum Kereta Ambarawa,Hutan Pinus Kayon
73,Semarang,Monumen Palagan Ambarawa,Benteng Pendem,Museum Kereta Ambarawa,Kota Lama Semarang,Semarang Chinatown
74,Semarang,Kampung Pelangi,Hutan Wisata Tinjomoyo Semarang,Taman Kasmaran,Kota Lama Semarang,Semarang Chinatown
75,Semarang,Wisata Mangrove Tapak,Umbul Sidomukti,Wisata Alam Wana Wisata Penggaron,Kota Lama Semarang,Semarang Chinatown
76,Semarang,Candi Gedong Songo,Grand Maerakaca,Lawang Sewu,Kota Lama Semarang,Semarang Chinatown
77,Semarang,Tirto Argo Siwarak,Wisata Eling Bening,Semarang Chinatown,La Kana Chapel,Semarang Chinatown
78,Semarang,Pantai Baruna,Pantai Marina,Wisata Mangrove Tapak,Pantai Cipta,Semarang Chinatown
79,Semarang,Waduk Jatibarang,Kampoeng Rawa,Gua Maria Kerep Ambarawa,Kota Lama Semarang,Semarang Chinatown
80,Semarang,Desa Wisata Lembah Kalipancur,Masjid Kapal Semarang,Kota Lama Semarang,Brown Canyon,Semarang Chinatown
81,Surabaya,Taman Prestasi,Taman Keputran,Taman Bungkul,Taman Flora Bratang Surabaya,Semarang Chinatown
82,Surabaya,Museum Sepuluh Nopember Kota Surabaya,Museum Kesehatan Dr. Adhyatma,Patung Buddha Empat Rupa,Museum TNI AL Loka Jala Crana,Keraton Surabaya
83,Surabaya,Masjid Muhammad Cheng Hoo,Masjid Nasional Al-Akbar,Klenteng Sanggar Agung,Patung Buddha Empat Rupa,Gereja Perawan Maria Tak Berdosa Surabaya
84,Surabaya,Ciputra Waterpark,Kenjeran Park,Kebun Binatang Surabaya,Atlantis Land Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya
85,Surabaya,Air Mancur Menari,Monumen Kapal Selam,Pantai Ria Kenjeran,Atlantis Land Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya
86,Surabaya,Museum De Javasche Bank,Surabaya Museum (Gedung Siola),Balai Kota Surabaya,Museum Mpu Tantular,Gereja Perawan Maria Tak Berdosa Surabaya
87,Surabaya,Surabaya North Quay,Waterpark Kenjeran Surabaya,| Food Junction Grand Pakuwon,Museum Mpu Tantular,Gereja Perawan Maria Tak Berdosa Surabaya
88,Surabaya,Taman Buah Surabaya,Taman Pelangi,Taman Barunawati,Taman Mundu,Gereja Perawan Maria Tak Berdosa Surabaya
89,Surabaya,Rumah Batik,Jembatan Merah,Monumen Tugu Pahlawan,Monumen Jalesveva Jayamahe,Patung Sura dan Buaya
90,Surabaya,Monumen Tugu Pahlawan,Monumen Jalesveva Jayamahe,Patung Sura dan Buaya,Monumen Bambu Runcing Surabaya,House of Sampoerna
91,Surabaya,Ekowisata Mangrove Wonorejo,Taman Harmoni Keputih,Taman Air Mancur Menari Kenjeran,Monumen Bambu Runcing Surabaya,House of Sampoerna
92,Surabaya,Taman Kunang-Kunang,Taman Ekspresi Dan Perpustakaan,Taman Air Mancur Menari Kenjeran,Monumen Bambu Runcing Surabaya,House of Sampoerna
93,Surabaya,Museum TNI AL Loka Jala Crana,Klenteng Sanggar Agung,Museum Sepuluh Nopember Kota Surabaya,Museum Kesehatan Dr. Adhyatma,Taman Hiburan Rakyat
94,Surabaya,Taman Buah Surabaya,Taman Pelangi,Hutan Bambu Keputih,Taman Barunawati,Kebun Bibit Wonorejo
95,Surabaya,Museum TNI AL Loka Jala Crana,Taman Hiburan Rakyat,Museum De Javasche Bank,Museum Mpu Tantular,Kebun Bibit Wonorejo
96,Surabaya,Ekowisata Mangrove Wonorejo,Taman Harmoni Keputih,Taman Kunang-Kunang,Taman Ekspresi Dan Perpustakaan,Museum De Javasche Bank
97,Surabaya,Ciputra Waterpark,Kenjeran Park,Kebun Binatang Surabaya,Food Junction Grand Pakuwon,| Atlantis Land Surabaya
98,Surabaya,Museum Kesehatan Dr. Adhyatma,Patung Buddha Empat Rupa,Taman Hiburan Rakyat,Taman Bungkul,Taman Flora Bratang Surabaya
99,Surabaya,Taman Ekspresi Dan Perpustakaan,Museum De Javasche Bank,Surabaya Museum (Gedung Siola),Museum Mpu Tantular,Taman Air Mancur Menari Kenjeran
100,Surabaya,Taman Buah Surabaya,Hutan Bambu Keputih,Taman Barunawati,Kebun Bibit Wonorejo,Taman Mundu
